educator_id,role,certification,years_experience,hire_year
3000256,teacher,standard,12,2013
3000257,teacher,provisional,1,2024
3000258,counselor,standard,3,2022
3000259,teacher,standard,9,2016
3000260,teacher,standard,2,2023
3000261,counselor,standard,10,2015
3000262,teacher,standard,13,2012
3000263,teacher,none,13,2012
3000264,teacher,standard,11,2014
3000265,admin,provisional,14,2011
3000266,teacher,standard,9,2016
3000267,teacher,standard,9,2016
3000268,teacher,standard,7,2018
3000269,teacher,none,10,2015
3000270,teacher,standard,7,2018
3000271,teacher,standard,14,2011
3000272,counselor,provisional,12,2013
3000273,teacher,standard,9,2016
3000274,teacher,standard,3,2022
3000275,teacher,standard,13,2012
3000276,teacher,provisional,11,2014
3000277,admin,standard,0,2025
3000278,admin,standard,2,2023
3000279,teacher,provisional,8,2017
3000280,teacher,provisional,8,2017
3000281,teacher,standard,6,2019
3000282,teacher,standard,16,2009
3000283,teacher,standard,5,2020
3000284,teacher,provisional,0,2025
3000285,teacher,standard,14,2011
3000286,teacher,standard,8,2017
3000287,teacher,standard,11,2014
3000288,admin,standard,4,2021
3000289,teacher,standard,22,2003
3000290,teacher,standard,2,2023
3000291,teacher,standard,3,2022
3000292,teacher,provisional,6,2019
3000293,admin,provisional,10,2015
3000294,teacher,standard,14,2011
3000295,teacher,standard,11,2014
3000296,teacher,none,4,2021
3000297,teacher,standard,14,2011
3000298,teacher,standard,13,2012
3000299,teacher,standard,7,2018
3000300,counselor,standard,0,2025
3000301,teacher,standard,3,2022
3000302,teacher,standard,1,2024
3000303,teacher,standard,3,2022
3000304,counselor,provisional,9,2016
3000305,teacher,standard,7,2018
3000306,admin,none,8,2017
3000307,teacher,standard,13,2012
3000308,teacher,standard,2,2023
3000309,teacher,standard,8,2017
3000310,admin,standard,2,2023
3000311,teacher,standard,0,2025
3000312,teacher,standard,5,2020
3000313,teacher,standard,6,2019
3000314,admin,standard,13,2012
3000315,teacher,provisional,0,2025
3000316,teacher,standard,6,2019
3000317,teacher,provisional,2,2023
3000318,admin,standard,11,2014
3000319,teacher,standard,12,2013
3000320,teacher,standard,3,2022
3000321,teacher,standard,9,2016
3000322,teacher,standard,5,2020
3000323,teacher,standard,10,2015
3000324,admin,standard,5,2020
3000325,teacher,provisional,16,2009
3000326,teacher,standard,9,2016
3000327,counselor,standard,3,2022
3000328,teacher,standard,8,2017
3000329,teacher,provisional,0,2025
3000330,teacher,standard,8,2017
3000331,teacher,standard,5,2020
3000332,teacher,standard,4,2021
3000333,teacher,standard,0,2025
3000334,teacher,standard,6,2019
3000335,teacher,standard,2,2023
3000336,teacher,standard,5,2020
3000337,teacher,standard,5,2020
3000338,admin,standard,21,2004
3000339,teacher,standard,17,2008
3000340,teacher,provisional,8,2017
3000341,teacher,standard,16,2009
3000342,teacher,none,4,2021
3000343,teacher,standard,11,2014
3000344,teacher,standard,8,2017
3000345,counselor,standard,16,2009
3000346,teacher,standard,0,2025
3000347,teacher,provisional,16,2009
3000348,teacher,standard,6,2019
3000349,teacher,standard,4,2021
3000350,teacher,standard,7,2018
3000351,teacher,standard,11,2014
3000352,teacher,standard,0,2025
3000353,teacher,standard,11,2014
3000354,teacher,standard,14,2011
3000355,teacher,provisional,4,2021
3000356,teacher,standard,14,2011
3000357,teacher,standard,13,2012
3000358,admin,standard,5,2020
3000359,teacher,standard,9,2016
3000360,teacher,standard,12,2013
3000361,teacher,standard,18,2007
3000362,teacher,standard,7,2018
3000363,counselor,provisional,1,2024
3000364,teacher,standard,10,2015
3000365,counselor,provisional,6,2019
3000366,counselor,standard,11,2014
3000367,teacher,standard,10,2015
3000368,teacher,standard,21,2004
3000369,teacher,standard,11,2014
3000370,teacher,standard,4,2021
3000371,teacher,provisional,8,2017
3000372,teacher,standard,14,2011
3000373,admin,standard,0,2025
3000374,teacher,standard,0,2025
3000375,teacher,standard,12,2013
3000376,admin,standard,0,2025
3000377,teacher,standard,15,2010
3000378,admin,standard,0,2025
3000379,admin,standard,10,2015
3000380,admin,standard,6,2019
3000381,teacher,standard,15,2010
3000382,counselor,standard,7,2018
3000383,teacher,standard,13,2012
3000384,teacher,none,14,2011
3000385,teacher,provisional,5,2020
3000386,teacher,standard,10,2015
3000387,teacher,standard,4,2021
3000388,counselor,standard,10,2015
3000389,counselor,standard,18,2007
3000390,teacher,standard,16,2009
3000391,teacher,standard,13,2012
3000392,teacher,standard,8,2017
3000393,teacher,standard,10,2015
3000394,teacher,standard,13,2012
3000395,admin,standard,17,2008
3000396,counselor,standard,8,2017
3000397,teacher,standard,0,2025
3000398,teacher,standard,7,2018
3000399,teacher,standard,2,2023
3000400,teacher,standard,8,2017
3000401,counselor,none,5,2020
3000402,teacher,standard,0,2025
3000403,teacher,none,7,2018
3000404,teacher,standard,4,2021
3000405,teacher,standard,11,2014
3000406,teacher,provisional,13,2012
3000407,teacher,provisional,9,2016
3000408,admin,standard,2,2023
3000409,teacher,standard,0,2025
3000410,teacher,provisional,11,2014
3000411,teacher,none,5,2020
3000412,teacher,standard,19,2006
3000413,teacher,none,13,2012
3000414,teacher,standard,4,2021
3000415,teacher,provisional,5,2020
3000416,counselor,standard,6,2019
3000417,teacher,provisional,15,2010
3000418,counselor,standard,0,2025
3000419,teacher,provisional,3,2022
3000420,teacher,provisional,11,2014
3000421,admin,provisional,10,2015
3000422,teacher,standard,3,2022
3000423,teacher,standard,8,2017
3000424,admin,provisional,3,2022
3000425,teacher,standard,11,2014
3000426,teacher,standard,7,2018
3000427,teacher,standard,9,2016
3000428,counselor,standard,12,2013
3000429,teacher,standard,22,2003
3000430,teacher,provisional,16,2009
3000431,teacher,provisional,10,2015
3000432,teacher,standard,9,2016
3000433,teacher,standard,18,2007
3000434,teacher,provisional,4,2021
3000435,admin,standard,18,2007
3000436,teacher,provisional,16,2009
3000437,teacher,standard,22,2003
3000438,admin,standard,10,2015
3000439,teacher,standard,0,2025
3000440,teacher,standard,0,2025
3000441,teacher,provisional,11,2014
3000442,teacher,standard,14,2011
3000443,teacher,standard,0,2025
3000444,teacher,standard,26,1999
3000445,teacher,standard,19,2006
3000446,admin,standard,18,2007
3000447,admin,none,3,2022
3000448,counselor,provisional,3,2022
3000449,teacher,provisional,8,2017
3000450,teacher,standard,1,2024
3000451,counselor,provisional,11,2014
3000452,teacher,standard,0,2025
3000453,admin,standard,7,2018
3000454,teacher,standard,0,2025
3000455,teacher,standard,3,2022
3000456,teacher,standard,13,2012
3000457,teacher,standard,10,2015
3000458,teacher,none,7,2018
3000459,teacher,none,6,2019
3000460,teacher,provisional,7,2018
3000461,teacher,standard,0,2025
3000462,teacher,provisional,17,2008
3000463,teacher,standard,11,2014
3000464,teacher,standard,9,2016
3000465,teacher,standard,5,2020
3000466,teacher,standard,9,2016
3000467,teacher,standard,5,2020
3000468,teacher,provisional,1,2024
3000469,teacher,standard,15,2010
3000470,teacher,standard,8,2017
3000471,teacher,standard,16,2009
3000472,teacher,standard,11,2014
3000473,teacher,standard,17,2008
3000474,teacher,standard,0,2025
3000475,teacher,standard,0,2025
3000476,teacher,standard,2,2023
3000477,teacher,standard,16,2009
3000478,teacher,standard,9,2016
3000479,teacher,standard,13,2012
3000480,admin,standard,13,2012
3000481,counselor,provisional,11,2014
3000482,teacher,standard,8,2017
3000483,teacher,standard,9,2016
3000484,teacher,standard,10,2015
3000485,teacher,provisional,0,2025
3000486,counselor,provisional,8,2017
3000487,teacher,standard,19,2006
3000488,teacher,provisional,9,2016
3000489,teacher,provisional,3,2022
3000490,teacher,provisional,7,2018
3000491,counselor,standard,6,2019
3000492,teacher,standard,6,2019
3000493,teacher,standard,9,2016
3000494,teacher,standard,0,2025
3000495,teacher,standard,8,2017
3000496,teacher,standard,0,2025
3000497,counselor,standard,13,2012
3000498,teacher,standard,5,2020
3000499,teacher,standard,9,2016
3000500,teacher,standard,13,2012
3000501,teacher,provisional,14,2011
3000502,teacher,standard,19,2006
3000503,teacher,standard,7,2018
3000504,teacher,standard,6,2019
3000505,teacher,standard,0,2025
3000506,teacher,standard,11,2014
3000507,teacher,standard,10,2015
3000508,teacher,standard,14,2011
3000509,teacher,standard,0,2025
3000510,teacher,standard,7,2018
3000511,teacher,standard,3,2022
3000512,teacher,standard,13,2012
3000513,teacher,standard,6,2019
3000514,teacher,provisional,13,2012
3000515,teacher,standard,17,2008
3000516,teacher,standard,16,2009
3000517,teacher,standard,7,2018
3000518,teacher,provisional,4,2021
3000519,teacher,standard,7,2018
3000520,teacher,none,3,2022
3000521,teacher,standard,6,2019
3000522,teacher,standard,7,2018
3000523,teacher,standard,14,2011
3000524,teacher,standard,14,2011
3000525,teacher,none,0,2025
3000526,teacher,standard,8,2017
3000527,teacher,provisional,10,2015
3000528,teacher,standard,12,2013
3000529,counselor,standard,14,2011
3000530,teacher,none,10,2015
3000531,teacher,standard,6,2019
3000532,teacher,standard,6,2019
3000533,teacher,standard,0,2025
3000534,teacher,standard,14,2011
3000535,counselor,standard,8,2017
3000536,admin,standard,0,2025
3000537,teacher,standard,2,2023
3000538,teacher,standard,10,2015
3000539,teacher,standard,6,2019
3000540,teacher,standard,5,2020
3000541,teacher,standard,12,2013
3000542,teacher,standard,7,2018
3000543,teacher,standard,21,2004
3000544,teacher,none,3,2022
3000545,teacher,standard,7,2018
3000546,teacher,provisional,11,2014
3000547,teacher,standard,8,2017
3000548,teacher,standard,7,2018
3000549,teacher,standard,13,2012
3000550,teacher,standard,23,2002
3000551,teacher,standard,1,2024
3000552,teacher,standard,2,2023
3000553,teacher,standard,12,2013
3000554,teacher,standard,14,2011
3000555,teacher,standard,16,2009
3000556,teacher,provisional,16,2009
3000557,teacher,standard,4,2021
3000558,teacher,standard,8,2017
3000559,teacher,standard,8,2017
3000560,teacher,standard,11,2014
3000561,teacher,standard,1,2024
3000562,teacher,standard,3,2022
3000563,teacher,provisional,9,2016
3000564,teacher,provisional,10,2015
3000565,teacher,standard,13,2012
3000566,teacher,standard,19,2006
3000567,teacher,standard,3,2022
3000568,teacher,provisional,9,2016
3000569,counselor,standard,15,2010
3000570,teacher,standard,9,2016
3000571,teacher,standard,12,2013
3000572,teacher,standard,5,2020
3000573,teacher,standard,5,2020
3000574,teacher,standard,18,2007
3000575,teacher,standard,7,2018
3000576,teacher,provisional,0,2025
3000577,teacher,standard,6,2019
3000578,teacher,provisional,5,2020
3000579,teacher,provisional,12,2013
3000580,teacher,standard,0,2025
3000581,teacher,standard,4,2021
3000582,teacher,provisional,7,2018
3000583,teacher,standard,7,2018
3000584,counselor,standard,4,2021
3000585,teacher,standard,13,2012
3000586,teacher,standard,8,2017
3000587,teacher,provisional,16,2009
3000588,admin,provisional,7,2018
3000589,teacher,standard,21,2004
3000590,teacher,standard,0,2025
3000591,teacher,standard,17,2008
3000592,teacher,standard,9,2016
3000593,teacher,standard,7,2018
3000594,teacher,provisional,18,2007
3000595,teacher,standard,11,2014
3000596,teacher,standard,16,2009
3000597,teacher,standard,3,2022
3000598,admin,standard,12,2013
3000599,teacher,standard,1,2024
3000600,teacher,standard,1,2024
3000601,teacher,standard,0,2025
3000602,counselor,standard,16,2009
3000603,teacher,standard,19,2006
3000604,teacher,provisional,10,2015
3000605,teacher,standard,16,2009
3000606,teacher,none,10,2015
3000607,teacher,standard,9,2016
3000608,teacher,provisional,10,2015
3000609,teacher,standard,2,2023
3000610,teacher,standard,9,2016
3000611,teacher,standard,22,2003
3000612,teacher,standard,8,2017
3000613,teacher,standard,10,2015
3000614,teacher,standard,16,2009
3000615,teacher,provisional,9,2016
3000616,teacher,provisional,20,2005
3000617,teacher,standard,5,2020
3000618,teacher,standard,0,2025
3000619,teacher,standard,4,2021
3000620,teacher,standard,12,2013
3000621,teacher,standard,14,2011
3000622,teacher,standard,13,2012
3000623,admin,provisional,11,2014
3000624,admin,standard,13,2012
3000625,teacher,provisional,17,2008
3000626,teacher,provisional,8,2017
3000627,teacher,standard,6,2019
3000628,teacher,standard,2,2023
3000629,teacher,provisional,1,2024
3000630,teacher,standard,8,2017
3000631,teacher,standard,19,2006
3000632,teacher,provisional,9,2016
3000633,teacher,none,10,2015
3000634,teacher,standard,5,2020
3000635,teacher,standard,5,2020
3000636,teacher,provisional,6,2019
3000637,teacher,standard,3,2022
3000638,teacher,standard,10,2015
3000639,counselor,standard,12,2013
3000640,teacher,standard,8,2017
3000641,teacher,standard,3,2022
3000642,teacher,standard,4,2021
3000643,teacher,standard,4,2021
3000644,teacher,standard,9,2016
3000645,teacher,standard,14,2011
3000646,teacher,standard,5,2020
3000647,teacher,standard,12,2013
3000648,teacher,standard,7,2018
3000649,teacher,standard,6,2019
3000650,teacher,standard,5,2020
3000651,teacher,standard,0,2025
3000652,teacher,none,9,2016
3000653,counselor,provisional,17,2008
3000654,teacher,standard,4,2021
3000655,teacher,standard,7,2018
3000656,counselor,standard,18,2007
3000657,teacher,standard,10,2015
3000658,teacher,standard,4,2021
3000659,teacher,provisional,17,2008
3000660,teacher,standard,5,2020
3000661,admin,standard,4,2021
3000662,counselor,standard,14,2011
3000663,teacher,standard,2,2023
3000664,teacher,provisional,0,2025
3000665,teacher,standard,0,2025
3000666,teacher,standard,0,2025
3000667,teacher,standard,6,2019
3000668,teacher,standard,9,2016
3000669,teacher,standard,11,2014
3000670,teacher,standard,8,2017
3000671,teacher,standard,14,2011
3000672,teacher,standard,4,2021
3000673,teacher,provisional,11,2014
3000674,counselor,standard,0,2025
3000675,teacher,standard,7,2018
3000676,teacher,provisional,7,2018
3000677,teacher,none,1,2024
3000678,teacher,standard,15,2010
3000679,teacher,standard,17,2008
3000680,teacher,standard,18,2007
3000681,teacher,standard,8,2017
3000682,teacher,standard,5,2020
3000683,teacher,standard,10,2015
3000684,teacher,standard,7,2018
3000685,teacher,standard,7,2018
3000686,teacher,standard,21,2004
3000687,teacher,standard,3,2022
3000688,teacher,standard,9,2016
3000689,teacher,standard,1,2024
3000690,teacher,standard,3,2022
3000691,teacher,standard,7,2018
3000692,counselor,standard,10,2015
3000693,counselor,standard,5,2020
3000694,teacher,standard,0,2025
3000695,counselor,none,12,2013
3000696,teacher,standard,12,2013
3000697,teacher,standard,0,2025
3000698,counselor,standard,1,2024
3000699,teacher,standard,6,2019
3000700,teacher,none,7,2018
3000701,teacher,provisional,8,2017
3000702,teacher,standard,14,2011
3000703,teacher,standard,18,2007
3000704,teacher,standard,2,2023
3000705,teacher,provisional,10,2015
3000706,teacher,standard,7,2018
3000707,teacher,none,6,2019
3000708,counselor,standard,4,2021
3000709,counselor,standard,1,2024
3000710,counselor,provisional,9,2016
3000711,teacher,standard,6,2019
3000712,teacher,standard,12,2013
3000713,teacher,standard,13,2012
3000714,teacher,standard,6,2019
3000715,teacher,standard,11,2014
3000716,teacher,provisional,21,2004
3000717,teacher,provisional,16,2009
3000718,teacher,standard,19,2006
3000719,teacher,standard,18,2007
3000720,teacher,standard,4,2021
3000721,teacher,standard,0,2025
3000722,teacher,standard,18,2007
3000723,teacher,standard,10,2015
3000724,teacher,standard,5,2020
3000725,teacher,standard,13,2012
3000726,teacher,standard,13,2012
3000727,teacher,standard,9,2016
3000728,admin,provisional,12,2013
3000729,teacher,standard,0,2025
3000730,teacher,standard,7,2018
3000731,teacher,standard,11,2014
3000732,teacher,provisional,7,2018
3000733,teacher,standard,5,2020
3000734,teacher,provisional,5,2020
3000735,teacher,standard,7,2018
3000736,counselor,standard,7,2018
3000737,teacher,provisional,13,2012
3000738,teacher,standard,7,2018
3000739,teacher,standard,2,2023
3000740,teacher,standard,0,2025
3000741,teacher,standard,17,2008
3000742,teacher,standard,19,2006
3000743,teacher,standard,3,2022
3000744,teacher,standard,14,2011
3000745,teacher,standard,1,2024
3000746,teacher,standard,1,2024
3000747,teacher,standard,9,2016
3000748,teacher,standard,13,2012
3000749,teacher,standard,14,2011
3000750,teacher,standard,5,2020
3000751,teacher,provisional,13,2012
3000752,teacher,standard,2,2023
3000753,admin,standard,1,2024
3000754,teacher,standard,4,2021
3000755,teacher,standard,0,2025
3000756,admin,standard,10,2015
3000757,teacher,standard,14,2011
3000758,teacher,standard,6,2019
3000759,teacher,provisional,3,2022
3000760,teacher,standard,10,2015
3000761,teacher,provisional,6,2019
3000762,teacher,standard,19,2006
3000763,teacher,standard,11,2014
3000764,admin,provisional,3,2022
3000765,teacher,standard,14,2011
3000766,admin,standard,5,2020
3000767,teacher,standard,11,2014
3000768,teacher,standard,10,2015
3000769,counselor,standard,10,2015
3000770,teacher,provisional,14,2011
3000771,teacher,standard,6,2019
3000772,teacher,standard,7,2018
3000773,counselor,standard,8,2017
3000774,teacher,standard,8,2017
3000775,teacher,standard,7,2018
3000776,teacher,provisional,9,2016
3000777,teacher,standard,9,2016
3000778,admin,none,20,2005
3000779,teacher,provisional,4,2021
3000780,teacher,standard,10,2015
3000781,teacher,provisional,0,2025
3000782,counselor,standard,7,2018
3000783,teacher,standard,2,2023
3000784,teacher,standard,0,2025
3000785,counselor,standard,6,2019
3000786,teacher,standard,12,2013
3000787,counselor,standard,0,2025
3000788,teacher,standard,7,2018
3000789,teacher,standard,6,2019
3000790,teacher,provisional,9,2016
3000791,teacher,standard,26,1999
3000792,teacher,standard,18,2007
3000793,teacher,standard,12,2013
3000794,teacher,standard,13,2012
3000795,teacher,standard,12,2013
3000796,teacher,standard,3,2022
3000797,teacher,standard,15,2010
3000798,teacher,standard,3,2022
3000799,counselor,standard,3,2022
3000800,teacher,provisional,0,2025
3000801,teacher,standard,20,2005
3000802,teacher,standard,3,2022
3000803,admin,standard,5,2020
3000804,teacher,standard,5,2020
3000805,teacher,provisional,2,2023
3000806,teacher,standard,14,2011
3000807,teacher,standard,14,2011
3000808,counselor,standard,0,2025
3000809,teacher,standard,7,2018
3000810,teacher,standard,1,2024
3000811,teacher,none,14,2011
3000812,teacher,provisional,9,2016
3000813,teacher,standard,8,2017
3000814,teacher,standard,5,2020
3000815,counselor,standard,18,2007
3000816,admin,standard,11,2014
3000817,teacher,standard,1,2024
3000818,teacher,standard,11,2014
3000819,teacher,standard,10,2015
3000820,teacher,provisional,13,2012
3000821,teacher,standard,1,2024
3000822,teacher,provisional,1,2024
3000823,teacher,standard,8,2017
3000824,teacher,standard,11,2014
3000825,admin,standard,11,2014
3000826,teacher,standard,1,2024
3000827,teacher,standard,7,2018
3000828,teacher,provisional,0,2025
3000829,teacher,standard,12,2013
3000830,teacher,standard,9,2016
3000831,teacher,standard,4,2021
3000832,teacher,standard,15,2010
3000833,admin,none,0,2025
3000834,teacher,standard,14,2011
3000835,teacher,standard,9,2016
3000836,teacher,standard,10,2015
3000837,teacher,standard,3,2022
3000838,teacher,standard,14,2011
3000839,teacher,standard,16,2009
3000840,teacher,standard,6,2019
3000841,counselor,standard,12,2013
3000842,teacher,none,14,2011
3000843,teacher,standard,2,2023
3000844,admin,standard,10,2015
3000845,teacher,provisional,9,2016
3000846,teacher,standard,6,2019
3000847,teacher,standard,13,2012
3000848,teacher,standard,8,2017
3000849,teacher,standard,21,2004
3000850,teacher,provisional,12,2013
3000851,admin,standard,5,2020
3000852,teacher,provisional,14,2011
3000853,teacher,standard,7,2018
3000854,teacher,none,0,2025
3000855,teacher,none,22,2003
3000856,teacher,standard,7,2018
3000857,counselor,standard,6,2019
3000858,counselor,standard,11,2014
3000859,teacher,standard,10,2015
3000860,teacher,standard,6,2019
3000861,teacher,standard,20,2005
3000862,teacher,standard,12,2013
3000863,teacher,standard,8,2017
3000864,teacher,standard,1,2024
3000865,teacher,standard,13,2012
3000866,teacher,standard,7,2018
3000867,teacher,standard,14,2011
3000868,teacher,standard,4,2021
3000869,teacher,standard,14,2011
3000870,teacher,standard,8,2017
