student_id,school_id,school_year,term,subject,scale_score,proficient_flag
2000060,1007,2025,spring,ela,273.55,0
2000061,1078,2025,spring,ela,328.86,1
2000062,1042,2025,spring,ela,280.03,0
2000063,1065,2025,spring,ela,284.26,0
2000064,1082,2025,spring,ela,262.21,1
2000065,1049,2025,spring,ela,299.26,1
2000066,1056,2025,spring,ela,302.01,1
2000067,1090,2025,spring,ela,323.14,1
2000068,1057,2025,spring,ela,276.18,0
2000069,1067,2025,spring,ela,318.62,1
2000070,1009,2025,spring,ela,215.7,0
2000071,1043,2025,spring,ela,262.01,1
2000072,1053,2025,spring,ela,224.19,0
2000073,1020,2025,spring,ela,261.71,1
2000074,1037,2025,spring,ela,309.46,1
2000075,1067,2025,spring,ela,338.76,1
2000076,1076,2025,spring,ela,265.94,1
2000077,1059,2025,spring,ela,308.7,1
2000078,1013,2025,spring,ela,242.18,0
2000079,1024,2025,spring,ela,260.28,0
2000080,1088,2025,spring,ela,242.39,0
2000081,1040,2025,spring,ela,284.31,0
2000082,1006,2025,spring,ela,271.33,1
2000083,1024,2025,spring,ela,290.3,0
2000084,1024,2025,spring,ela,336.58,1
2000085,1031,2025,spring,ela,269.24,0
2000086,1073,2025,spring,ela,227.6,0
2000087,1024,2025,spring,ela,286.04,0
2000088,1065,2025,spring,ela,266.18,0
2000089,1005,2025,spring,ela,316.59,1
2000090,1047,2025,spring,ela,313.07,1
2000091,1079,2025,spring,ela,241.58,0
2000092,1040,2025,spring,ela,267.62,0
2000093,1056,2025,spring,ela,273.5,0
2000094,1022,2025,spring,ela,259.16,0
2000095,1058,2025,spring,ela,256.65,1
2000096,1080,2025,spring,ela,296.54,1
2000097,1089,2025,spring,ela,284.45,1
2000098,1056,2025,spring,ela,292.42,0
2000099,1090,2025,spring,ela,294.82,0
2000100,1042,2025,spring,ela,240.67,0
2000101,1065,2025,spring,ela,314.53,1
2000102,1047,2025,spring,ela,315.57,1
2000103,1057,2025,spring,ela,255.29,0
2000104,1006,2025,spring,ela,241.19,0
2000105,1028,2025,spring,ela,270.26,0
2000106,1014,2025,spring,ela,297.45,0
2000107,1076,2025,spring,ela,275.43,1
2000108,1069,2025,spring,ela,265.66,0
2000109,1003,2025,spring,ela,267.56,0
2000110,1005,2025,spring,ela,310.46,1
2000111,1033,2025,spring,ela,308.95,1
2000112,1072,2025,spring,ela,296.63,1
2000113,1066,2025,spring,ela,272.04,0
2000114,1001,2025,spring,ela,333.66,1
2000115,1072,2025,spring,ela,329.32,1
2000116,1023,2025,spring,ela,258.36,1
2000117,1019,2025,spring,ela,248.91,0
2000118,1007,2025,spring,ela,267.69,0
2000119,1075,2025,spring,ela,320.77,1
2000120,1047,2025,spring,ela,295.13,0
2000121,1014,2025,spring,ela,296.82,0
2000122,1088,2025,spring,ela,263.69,1
2000123,1010,2025,spring,ela,284.93,1
2000124,1055,2025,spring,ela,258.26,0
2000125,1069,2025,spring,ela,296.07,0
2000126,1071,2025,spring,ela,279.3,0
2000127,1019,2025,spring,ela,264.84,0
2000128,1005,2025,spring,ela,300.12,0
2000129,1014,2025,spring,ela,335.99,1
2000130,1014,2025,spring,ela,285.45,0
2000131,1017,2025,spring,ela,268.11,0
2000132,1030,2025,spring,ela,232.97,0
2000133,1037,2025,spring,ela,309.12,1
2000134,1036,2025,spring,ela,250.18,0
2000135,1085,2025,spring,ela,242.53,0
2000136,1031,2025,spring,ela,296.13,0
2000137,1017,2025,spring,ela,291.9,1
2000138,1028,2025,spring,ela,308.86,1
2000139,1073,2025,spring,ela,271.88,1
2000140,1078,2025,spring,ela,307.3,1
2000141,1042,2025,spring,ela,271.48,0
2000142,1078,2025,spring,ela,334.46,1
2000143,1031,2025,spring,ela,328.74,1
2000144,1033,2025,spring,ela,327.61,1
2000145,1069,2025,spring,ela,230.08,0
2000146,1033,2025,spring,ela,326.62,1
2000147,1043,2025,spring,ela,246.95,0
2000148,1014,2025,spring,ela,317.22,1
2000149,1040,2025,spring,ela,276.12,0
2000150,1059,2025,spring,ela,280.11,1
2000151,1079,2025,spring,ela,251.33,0
2000152,1072,2025,spring,ela,334.13,1
2000153,1070,2025,spring,ela,236.85,0
2000154,1002,2025,spring,ela,223.83,0
2000155,1056,2025,spring,ela,306.28,0
2000156,1024,2025,spring,ela,302.41,1
2000157,1079,2025,spring,ela,253.56,0
2000158,1067,2025,spring,ela,339.45,1
2000159,1087,2025,spring,ela,285.56,1
2000160,1060,2025,spring,ela,316.04,1
2000161,1052,2025,spring,ela,285.01,1
2000162,1004,2025,spring,ela,232.78,0
2000163,1008,2025,spring,ela,283.25,1
2000164,1007,2025,spring,ela,291.62,1
2000165,1077,2025,spring,ela,278.12,1
2000166,1062,2025,spring,ela,279.76,0
2000167,1063,2025,spring,ela,254.12,0
2000168,1035,2025,spring,ela,241.74,0
2000169,1026,2025,spring,ela,256.31,0
2000170,1086,2025,spring,ela,288.57,0
2000171,1015,2025,spring,ela,312.5,1
2000172,1062,2025,spring,ela,296.78,1
2000173,1064,2025,spring,ela,258.76,0
2000174,1004,2025,spring,ela,269.68,0
2000175,1032,2025,spring,ela,290.23,0
2000176,1001,2025,spring,ela,269.65,0
2000177,1076,2025,spring,ela,247.82,0
2000178,1031,2025,spring,ela,319.6,1
2000179,1032,2025,spring,ela,251.1,0
2000180,1016,2025,spring,ela,259.42,0
2000181,1023,2025,spring,ela,239.69,0
2000182,1056,2025,spring,ela,282.22,0
2000183,1046,2025,spring,ela,288.06,1
2000184,1072,2025,spring,ela,354.42,1
2000185,1041,2025,spring,ela,284.38,1
2000186,1003,2025,spring,ela,300.49,1
2000187,1032,2025,spring,ela,302.94,1
2000188,1027,2025,spring,ela,252.46,0
2000189,1064,2025,spring,ela,229.47,0
2000190,1024,2025,spring,ela,309.28,1
2000191,1067,2025,spring,ela,283.59,0
2000192,1072,2025,spring,ela,324.78,1
2000193,1052,2025,spring,ela,280.1,1
2000194,1045,2025,spring,ela,241.56,0
2000195,1016,2025,spring,ela,267.13,0
2000196,1032,2025,spring,ela,312.05,1
2000197,1069,2025,spring,ela,277.2,0
2000198,1028,2025,spring,ela,284.07,0
2000199,1007,2025,spring,ela,267.15,0
2000200,1078,2025,spring,ela,314.15,1
2000201,1044,2025,spring,ela,280.31,1
2000202,1035,2025,spring,ela,254.52,0
2000203,1001,2025,spring,ela,291.65,1
2000204,1076,2025,spring,ela,230.95,0
2000205,1078,2025,spring,ela,336.75,1
2000206,1069,2025,spring,ela,300.49,0
2000207,1045,2025,spring,ela,238.8,0
2000208,1061,2025,spring,ela,268.19,1
2000209,1008,2025,spring,ela,227.41,0
2000210,1050,2025,spring,ela,237.07,0
2000211,1029,2025,spring,ela,283.69,0
2000212,1057,2025,spring,ela,295.6,1
2000213,1024,2025,spring,ela,315.51,1
2000214,1059,2025,spring,ela,285.24,1
2000215,1069,2025,spring,ela,295.52,0
2000216,1028,2025,spring,ela,259.48,0
2000217,1032,2025,spring,ela,295.83,0
2000218,1011,2025,spring,ela,226.03,0
2000219,1007,2025,spring,ela,268.79,0
2000220,1069,2025,spring,ela,328.29,1
2000221,1040,2025,spring,ela,260.64,0
2000222,1088,2025,spring,ela,254.22,0
2000223,1005,2025,spring,ela,303.72,0
2000224,1056,2025,spring,ela,312.6,1
2000225,1068,2025,spring,ela,251.38,0
2000226,1045,2025,spring,ela,285.07,1
2000227,1019,2025,spring,ela,302.1,1
2000228,1042,2025,spring,ela,245.89,0
2000229,1036,2025,spring,ela,271.03,1
2000230,1058,2025,spring,ela,213.18,0
2000231,1046,2025,spring,ela,213.37,0
2000232,1065,2025,spring,ela,267.75,0
2000233,1063,2025,spring,ela,294.68,1
2000234,1079,2025,spring,ela,263.92,0
2000235,1029,2025,spring,ela,298.78,1
2000236,1072,2025,spring,ela,325.66,1
2000237,1022,2025,spring,ela,261.38,0
2000238,1034,2025,spring,ela,238.0,0
2000239,1078,2025,spring,ela,255.6,0
2000240,1002,2025,spring,ela,215.4,0
2000241,1005,2025,spring,ela,348.59,1
2000242,1005,2025,spring,ela,337.28,1
2000243,1020,2025,spring,ela,253.35,0
2000244,1032,2025,spring,ela,342.86,1
2000245,1081,2025,spring,ela,253.19,0
2000246,1005,2025,spring,ela,347.03,1
2000247,1086,2025,spring,ela,270.02,0
2000248,1088,2025,spring,ela,241.95,0
2000249,1043,2025,spring,ela,218.37,0
2000250,1057,2025,spring,ela,244.86,0
2000251,1060,2025,spring,ela,264.86,0
2000252,1085,2025,spring,ela,274.23,1
2000253,1017,2025,spring,ela,297.26,1
2000254,1046,2025,spring,ela,246.41,0
2000255,1080,2025,spring,ela,313.55,1
2000256,1052,2025,spring,ela,285.58,1
2000257,1056,2025,spring,ela,291.39,0
2000258,1026,2025,spring,ela,222.61,0
2000259,1031,2025,spring,ela,309.58,1
2000260,1064,2025,spring,ela,252.95,0
2000261,1055,2025,spring,ela,218.82,0
2000262,1073,2025,spring,ela,272.11,1
2000263,1042,2025,spring,ela,333.37,1
2000264,1067,2025,spring,ela,310.24,1
2000265,1067,2025,spring,ela,286.1,0
2000266,1029,2025,spring,ela,290.31,1
2000267,1005,2025,spring,ela,327.41,1
2000268,1022,2025,spring,ela,275.09,1
2000269,1036,2025,spring,ela,239.99,0
2000270,1078,2025,spring,ela,285.54,0
2000271,1031,2025,spring,ela,315.48,1
2000272,1064,2025,spring,ela,234.65,0
2000273,1035,2025,spring,ela,252.36,0
2000274,1066,2025,spring,ela,264.02,0
2000275,1075,2025,spring,ela,318.13,1
2000276,1070,2025,spring,ela,241.56,0
2000277,1014,2025,spring,ela,317.91,1
2000278,1042,2025,spring,ela,267.9,0
2000279,1037,2025,spring,ela,296.97,0
2000280,1067,2025,spring,ela,271.26,0
2000281,1063,2025,spring,ela,277.7,0
2000282,1071,2025,spring,ela,293.42,1
2000283,1078,2025,spring,ela,298.91,0
2000284,1051,2025,spring,ela,267.36,0
2000285,1031,2025,spring,ela,304.68,0
2000286,1078,2025,spring,ela,318.84,1
2000287,1050,2025,spring,ela,175.59,0
2000288,1086,2025,spring,ela,315.15,1
2000289,1077,2025,spring,ela,309.24,1
2000290,1025,2025,spring,ela,267.8,1
2000291,1030,2025,spring,ela,281.91,1
2000292,1058,2025,spring,ela,245.21,0
2000293,1015,2025,spring,ela,290.88,1
2000294,1088,2025,spring,ela,263.53,1
2000295,1003,2025,spring,ela,290.14,1
2000296,1069,2025,spring,ela,319.76,1
2000297,1078,2025,spring,ela,347.58,1
2000298,1037,2025,spring,ela,281.84,0
2000299,1058,2025,spring,ela,226.93,0
2000300,1009,2025,spring,ela,228.6,0
2000301,1033,2025,spring,ela,283.57,0
2000302,1090,2025,spring,ela,318.18,1
2000303,1056,2025,spring,ela,262.61,0
2000304,1070,2025,spring,ela,260.46,0
2000305,1028,2025,spring,ela,276.69,0
2000306,1017,2025,spring,ela,291.78,1
2000307,1015,2025,spring,ela,307.61,1
2000308,1016,2025,spring,ela,302.62,1
2000309,1015,2025,spring,ela,275.0,0
2000310,1040,2025,spring,ela,296.61,0
2000311,1028,2025,spring,ela,286.29,0
2000312,1036,2025,spring,ela,263.31,1
2000313,1069,2025,spring,ela,309.94,1
2000314,1080,2025,spring,ela,283.31,1
2000315,1051,2025,spring,ela,288.15,1
2000316,1016,2025,spring,ela,295.81,1
2000317,1024,2025,spring,ela,311.8,0
2000318,1022,2025,spring,ela,277.02,1
2000319,1087,2025,spring,ela,290.91,1
2000320,1035,2025,spring,ela,248.38,0
2000321,1014,2025,spring,ela,305.33,0
2000322,1062,2025,spring,ela,299.42,1
2000323,1033,2025,spring,ela,345.44,1
2000324,1056,2025,spring,ela,317.19,1
2000325,1009,2025,spring,ela,255.14,0
2000326,1060,2025,spring,ela,307.25,1
2000327,1047,2025,spring,ela,311.14,1
2000328,1090,2025,spring,ela,293.38,0
2000329,1024,2025,spring,ela,288.49,0
2000330,1028,2025,spring,ela,258.99,0
2000331,1040,2025,spring,ela,292.99,0
2000332,1090,2025,spring,ela,311.64,1
2000333,1085,2025,spring,ela,289.49,1
2000334,1090,2025,spring,ela,306.14,0
2000335,1032,2025,spring,ela,321.48,1
2000336,1033,2025,spring,ela,284.28,0
2000337,1005,2025,spring,ela,329.23,1
2000338,1078,2025,spring,ela,318.43,1
2000339,1041,2025,spring,ela,287.85,1
2000340,1080,2025,spring,ela,308.83,1
2000341,1065,2025,spring,ela,246.87,0
2000342,1081,2025,spring,ela,284.31,1
2000343,1036,2025,spring,ela,271.77,1
2000344,1075,2025,spring,ela,319.1,1
2000345,1086,2025,spring,ela,302.0,1
2000346,1021,2025,spring,ela,254.76,0
2000347,1017,2025,spring,ela,256.18,0
2000348,1014,2025,spring,ela,307.42,0
2000349,1033,2025,spring,ela,299.49,0
2000350,1003,2025,spring,ela,276.95,0
2000351,1069,2025,spring,ela,290.77,0
2000352,1057,2025,spring,ela,252.94,0
2000353,1005,2025,spring,ela,312.82,1
2000354,1012,2025,spring,ela,353.2,1
2000355,1003,2025,spring,ela,271.69,0
2000356,1085,2025,spring,ela,291.81,1
2000357,1083,2025,spring,ela,283.33,1
2000358,1051,2025,spring,ela,296.42,1
2000359,1050,2025,spring,ela,268.75,1
2000360,1089,2025,spring,ela,293.83,1
2000361,1073,2025,spring,ela,250.89,0
2000362,1078,2025,spring,ela,325.02,1
2000363,1087,2025,spring,ela,318.38,1
2000364,1077,2025,spring,ela,282.27,0
2000365,1004,2025,spring,ela,266.75,0
2000366,1024,2025,spring,ela,318.87,1
2000367,1043,2025,spring,ela,261.38,0
2000368,1002,2025,spring,ela,255.44,0
2000369,1001,2025,spring,ela,293.19,1
2000370,1024,2025,spring,ela,348.58,1
2000371,1001,2025,spring,ela,309.27,1
2000372,1047,2025,spring,ela,279.47,0
2000373,1037,2025,spring,ela,304.84,0
2000374,1056,2025,spring,ela,278.26,0
2000375,1047,2025,spring,ela,288.25,0
2000376,1014,2025,spring,ela,356.0,1
2000377,1025,2025,spring,ela,263.39,0
2000378,1087,2025,spring,ela,306.29,1
2000379,1010,2025,spring,ela,288.06,1
2000380,1063,2025,spring,ela,284.84,1
2000381,1023,2025,spring,ela,265.77,1
2000382,1072,2025,spring,ela,299.62,1
2000383,1011,2025,spring,ela,246.04,0
2000384,1067,2025,spring,ela,268.66,0
2000385,1014,2025,spring,ela,291.82,0
2000386,1080,2025,spring,ela,294.36,1
2000387,1077,2025,spring,ela,241.2,0
2000388,1037,2025,spring,ela,301.13,1
2000389,1051,2025,spring,ela,279.82,0
2000390,1046,2025,spring,ela,269.06,1
2000391,1074,2025,spring,ela,231.9,0
2000392,1080,2025,spring,ela,300.96,1
2000393,1034,2025,spring,ela,211.31,0
2000394,1090,2025,spring,ela,273.63,0
2000395,1048,2025,spring,ela,246.01,0
2000396,1050,2025,spring,ela,231.26,0
2000397,1031,2025,spring,ela,307.46,1
2000398,1047,2025,spring,ela,266.84,0
2000399,1078,2025,spring,ela,281.26,0
2000400,1045,2025,spring,ela,264.15,1
2000401,1032,2025,spring,ela,357.95,1
2000402,1056,2025,spring,ela,300.19,0
2000403,1031,2025,spring,ela,305.02,1
2000404,1004,2025,spring,ela,251.07,0
2000405,1007,2025,spring,ela,283.29,1
2000406,1001,2025,spring,ela,274.12,0
2000407,1053,2025,spring,ela,254.32,0
2000408,1072,2025,spring,ela,321.4,1
2000409,1059,2025,spring,ela,262.99,0
2000410,1057,2025,spring,ela,264.5,0
2000411,1090,2025,spring,ela,334.68,1
2000412,1033,2025,spring,ela,321.38,1
2000413,1028,2025,spring,ela,284.51,0
2000414,1085,2025,spring,ela,298.64,1
2000415,1056,2025,spring,ela,306.39,0
2000416,1003,2025,spring,ela,267.87,0
2000417,1026,2025,spring,ela,260.55,0
2000418,1079,2025,spring,ela,288.66,1
2000419,1084,2025,spring,ela,227.18,0
2000420,1031,2025,spring,ela,344.42,1
2000421,1069,2025,spring,ela,276.2,0
2000422,1010,2025,spring,ela,251.02,0
2000423,1032,2025,spring,ela,336.79,1
2000424,1066,2025,spring,ela,281.79,1
2000425,1074,2025,spring,ela,223.93,0
2000426,1037,2025,spring,ela,280.32,0
2000427,1010,2025,spring,ela,275.23,1
2000428,1079,2025,spring,ela,270.34,0
2000429,1086,2025,spring,ela,294.23,0
2000430,1083,2025,spring,ela,232.44,0
2000431,1047,2025,spring,ela,316.4,1
2000432,1087,2025,spring,ela,295.97,1
2000433,1016,2025,spring,ela,285.27,1
2000434,1020,2025,spring,ela,256.03,0
2000435,1045,2025,spring,ela,260.75,1
2000436,1052,2025,spring,ela,257.17,0
2000437,1058,2025,spring,ela,258.32,0
2000438,1069,2025,spring,ela,274.51,0
2000439,1029,2025,spring,ela,280.65,0
2000440,1082,2025,spring,ela,270.88,1
2000441,1040,2025,spring,ela,246.3,0
2000442,1063,2025,spring,ela,287.09,1
2000443,1067,2025,spring,ela,303.37,0
2000444,1047,2025,spring,ela,284.13,0
2000445,1005,2025,spring,ela,334.89,1
2000446,1060,2025,spring,ela,303.72,1
2000447,1061,2025,spring,ela,245.93,0
2000448,1079,2025,spring,ela,255.95,0
2000449,1087,2025,spring,ela,311.27,1
2000450,1037,2025,spring,ela,302.95,0
2000451,1006,2025,spring,ela,248.2,0
2000452,1001,2025,spring,ela,300.84,1
2000453,1078,2025,spring,ela,301.4,0
2000454,1060,2025,spring,ela,316.46,1
2000455,1043,2025,spring,ela,248.05,0
2000456,1014,2025,spring,ela,336.56,1
2000457,1003,2025,spring,ela,237.41,0
2000458,1033,2025,spring,ela,302.13,1
2000459,1075,2025,spring,ela,261.48,0
2000460,1033,2025,spring,ela,268.65,0
2000461,1065,2025,spring,ela,278.38,0
2000462,1003,2025,spring,ela,259.7,0
2000463,1046,2025,spring,ela,254.41,0
2000464,1071,2025,spring,ela,269.4,0
2000465,1035,2025,spring,ela,244.34,0
2000466,1015,2025,spring,ela,269.28,0
2000467,1070,2025,spring,ela,237.12,0
2000468,1075,2025,spring,ela,298.09,0
2000469,1033,2025,spring,ela,327.0,1
2000470,1080,2025,spring,ela,290.8,1
2000471,1051,2025,spring,ela,289.65,1
2000472,1004,2025,spring,ela,263.88,0
2000473,1046,2025,spring,ela,237.5,0
2000474,1078,2025,spring,ela,296.84,0
2000475,1067,2025,spring,ela,279.97,0
2000476,1004,2025,spring,ela,318.15,1
2000477,1011,2025,spring,ela,223.46,0
2000478,1038,2025,spring,ela,246.02,0
2000479,1058,2025,spring,ela,250.72,0
2000480,1037,2025,spring,ela,283.36,0
2000481,1031,2025,spring,ela,304.31,0
2000482,1015,2025,spring,ela,303.65,1
2000483,1049,2025,spring,ela,269.59,0
2000484,1012,2025,spring,ela,351.69,1
2000485,1025,2025,spring,ela,228.17,0
2000486,1040,2025,spring,ela,290.62,0
2000487,1040,2025,spring,ela,299.01,0
2000488,1063,2025,spring,ela,293.42,1
2000489,1069,2025,spring,ela,292.76,0
2000490,1028,2025,spring,ela,290.43,0
2000491,1060,2025,spring,ela,303.32,0
2000492,1035,2025,spring,ela,213.37,0
2000493,1069,2025,spring,ela,278.65,0
2000494,1016,2025,spring,ela,255.95,0
2000495,1024,2025,spring,ela,313.92,1
2000496,1005,2025,spring,ela,328.98,1
2000497,1021,2025,spring,ela,274.77,1
2000498,1042,2025,spring,ela,305.32,1
2000499,1049,2025,spring,ela,322.15,1
2000500,1003,2025,spring,ela,262.01,0
2000501,1012,2025,spring,ela,342.68,1
2000502,1031,2025,spring,ela,290.33,0
2000503,1033,2025,spring,ela,285.31,0
2000504,1078,2025,spring,ela,287.38,0
2000505,1070,2025,spring,ela,276.26,1
2000506,1017,2025,spring,ela,281.5,0
2000507,1063,2025,spring,ela,222.57,0
2000508,1003,2025,spring,ela,270.29,0
2000509,1006,2025,spring,ela,242.28,0
2000510,1045,2025,spring,ela,244.04,0
2000511,1065,2025,spring,ela,287.5,1
2000512,1050,2025,spring,ela,243.23,0
2000513,1040,2025,spring,ela,253.2,0
2000514,1036,2025,spring,ela,252.01,0
2000515,1054,2025,spring,ela,249.15,0
2000516,1057,2025,spring,ela,284.09,1
2000517,1049,2025,spring,ela,261.32,0
2000518,1067,2025,spring,ela,296.05,0
2000519,1071,2025,spring,ela,298.1,1
2000520,1071,2025,spring,ela,304.35,1
2000521,1049,2025,spring,ela,264.95,0
2000522,1015,2025,spring,ela,317.74,1
2000523,1014,2025,spring,ela,320.39,1
2000524,1051,2025,spring,ela,306.08,1
2000525,1055,2025,spring,ela,238.48,0
2000526,1063,2025,spring,ela,300.74,1
2000527,1067,2025,spring,ela,299.92,0
2000528,1067,2025,spring,ela,333.6,1
2000529,1048,2025,spring,ela,268.15,1
2000530,1032,2025,spring,ela,315.0,1
2000531,1090,2025,spring,ela,317.15,1
2000532,1051,2025,spring,ela,260.54,0
2000533,1007,2025,spring,ela,271.42,0
2000534,1088,2025,spring,ela,277.9,1
2000535,1062,2025,spring,ela,263.11,0
2000536,1014,2025,spring,ela,341.8,1
2000537,1087,2025,spring,ela,298.05,1
2000538,1026,2025,spring,ela,264.98,0
2000539,1012,2025,spring,ela,335.76,1
2000540,1012,2025,spring,ela,290.89,0
2000541,1050,2025,spring,ela,239.8,0
2000542,1048,2025,spring,ela,250.92,0
2000543,1073,2025,spring,ela,268.68,1
2000544,1005,2025,spring,ela,313.26,1
2000545,1020,2025,spring,ela,271.77,1
2000546,1077,2025,spring,ela,249.52,0
2000547,1026,2025,spring,ela,273.32,0
2000548,1080,2025,spring,ela,281.49,1
2000549,1058,2025,spring,ela,241.79,0
2000550,1082,2025,spring,ela,273.99,1
2000551,1014,2025,spring,ela,327.59,1
2000552,1017,2025,spring,ela,301.19,1
2000553,1020,2025,spring,ela,279.7,1
2000554,1056,2025,spring,ela,308.15,1
2000555,1015,2025,spring,ela,273.0,0
2000556,1056,2025,spring,ela,287.94,0
2000557,1036,2025,spring,ela,271.41,1
2000558,1049,2025,spring,ela,319.17,1
2000559,1014,2025,spring,ela,280.42,0
2000560,1012,2025,spring,ela,314.16,1
2000561,1069,2025,spring,ela,287.43,0
2000562,1001,2025,spring,ela,233.45,0
2000563,1040,2025,spring,ela,293.17,0
2000564,1051,2025,spring,ela,239.65,0
2000565,1037,2025,spring,ela,331.69,1
2000566,1041,2025,spring,ela,253.15,0
2000567,1034,2025,spring,ela,278.87,1
2000568,1050,2025,spring,ela,277.14,1
2000569,1026,2025,spring,ela,237.43,0
2000570,1051,2025,spring,ela,284.51,1
2000571,1080,2025,spring,ela,327.1,1
2000572,1067,2025,spring,ela,322.78,1
2000573,1069,2025,spring,ela,305.23,0
2000574,1090,2025,spring,ela,306.56,1
2000575,1066,2025,spring,ela,250.66,0
2000576,1035,2025,spring,ela,226.53,0
2000577,1030,2025,spring,ela,251.88,0
2000578,1033,2025,spring,ela,303.57,1
2000579,1004,2025,spring,ela,286.93,0
2000580,1078,2025,spring,ela,319.58,1
2000581,1063,2025,spring,ela,276.61,0
2000582,1007,2025,spring,ela,253.02,0
2000583,1021,2025,spring,ela,254.1,0
2000584,1058,2025,spring,ela,231.25,0
2000585,1036,2025,spring,ela,287.18,1
2000586,1037,2025,spring,ela,285.86,0
2000587,1065,2025,spring,ela,264.2,0
2000588,1053,2025,spring,ela,287.87,1
2000589,1026,2025,spring,ela,211.77,0
2000590,1086,2025,spring,ela,317.22,1
2000591,1080,2025,spring,ela,252.17,0
2000592,1062,2025,spring,ela,239.83,0
2000593,1019,2025,spring,ela,263.17,0
2000594,1033,2025,spring,ela,302.82,1
2000595,1047,2025,spring,ela,284.13,0
2000596,1050,2025,spring,ela,233.07,0
2000597,1008,2025,spring,ela,282.59,1
2000598,1038,2025,spring,ela,295.29,1
2000599,1013,2025,spring,ela,287.37,1
2000600,1003,2025,spring,ela,254.58,0
2000601,1078,2025,spring,ela,294.65,0
2000602,1090,2025,spring,ela,274.97,0
2000603,1074,2025,spring,ela,260.73,0
2000604,1009,2025,spring,ela,237.07,0
2000605,1006,2025,spring,ela,278.93,1
2000606,1040,2025,spring,ela,288.44,0
2000607,1026,2025,spring,ela,240.65,0
2000608,1030,2025,spring,ela,276.27,1
2000609,1047,2025,spring,ela,285.51,0
2000610,1001,2025,spring,ela,219.84,0
2000611,1046,2025,spring,ela,270.33,1
2000612,1035,2025,spring,ela,260.89,0
2000613,1059,2025,spring,ela,257.67,0
2000614,1082,2025,spring,ela,227.05,0
2000615,1047,2025,spring,ela,261.72,0
2000616,1077,2025,spring,ela,252.84,0
2000617,1060,2025,spring,ela,277.61,0
2000618,1047,2025,spring,ela,278.3,0
2000619,1018,2025,spring,ela,241.76,0
2000620,1033,2025,spring,ela,281.05,0
2000621,1060,2025,spring,ela,292.97,0
2000622,1064,2025,spring,ela,235.91,0
2000623,1011,2025,spring,ela,232.22,0
2000624,1053,2025,spring,ela,262.29,1
2000625,1021,2025,spring,ela,249.15,0
2000626,1080,2025,spring,ela,240.12,0
2000627,1014,2025,spring,ela,340.5,1
2000628,1014,2025,spring,ela,303.71,1
2000629,1077,2025,spring,ela,280.68,1
2000630,1087,2025,spring,ela,287.75,1
2000631,1033,2025,spring,ela,298.58,0
2000632,1060,2025,spring,ela,320.33,1
2000633,1081,2025,spring,ela,306.85,1
