student_id,birth_year,grade_level,gender,race_ethnicity,frpl_flag,ell_flag,iep_flag
2000122,2013,4,M,Black,0,0,0
2000123,2014,5,F,White,1,0,0
2000124,2011,5,M,White,0,0,0
2000125,2008,10,F,Black,0,0,0
2000126,2012,8,M,White,0,1,0
2000127,2007,5,M,White,1,0,0
2000128,2013,10,M,Hispanic,0,0,0
2000129,2014,9,M,White,0,0,0
2000130,2012,11,M,Asian,1,0,0
2000131,2009,8,F,Black,1,0,0
2000132,2013,4,F,White,1,0,0
2000133,2010,11,F,Hispanic,1,0,0
2000134,2009,4,M,Black,1,0,0
2000135,2012,3,M,Black,0,1,0
2000136,2014,10,F,Black,0,0,0
2000137,2007,7,M,White,0,0,0
2000138,2007,9,F,Black,0,0,0
2000139,2010,4,M,Hispanic,0,0,0
2000140,2009,10,M,White,0,1,0
2000141,2007,7,M,Black,1,0,0
2000142,2009,12,F,Asian,1,0,0
2000143,2009,9,F,White,1,0,0
2000144,2014,12,M,Black,0,0,0
2000145,2011,10,M,White,1,0,1
2000146,2007,11,M,Hispanic,0,0,0
2000147,2014,3,F,White,1,1,0
2000148,2009,10,M,Black,0,0,0
2000149,2011,9,F,Black,0,0,0
2000150,2007,6,M,Asian,0,0,0
2000151,2015,6,F,White,1,0,1
2000152,2008,9,F,Other,0,0,0
2000153,2008,4,F,Black,1,1,0
2000154,2012,4,M,Black,0,0,0
2000155,2011,11,F,White,1,0,0
2000156,2012,10,F,Black,1,0,0
2000157,2015,8,M,White,0,0,0
2000158,2012,10,M,White,0,0,0
2000159,2009,6,M,Black,0,1,0
2000160,2012,10,M,Hispanic,0,0,0
2000161,2013,5,M,White,1,0,0
2000162,2011,7,X,Black,1,1,1
2000163,2014,4,F,Black,1,0,0
2000164,2010,6,M,White,0,0,0
2000165,2012,6,F,Black,0,0,0
2000166,2012,7,M,White,0,1,0
2000167,2012,7,F,White,1,0,0
2000168,2014,3,F,White,1,0,1
2000169,2009,6,M,Black,0,1,0
2000170,2014,11,F,White,1,0,0
2000171,2008,7,M,White,0,0,0
2000172,2007,8,M,White,0,1,0
2000173,2013,4,M,Other,0,0,0
2000174,2009,6,F,White,0,0,0
2000175,2015,12,M,Hispanic,1,0,0
2000176,2013,8,M,White,0,0,0
2000177,2007,3,F,White,0,0,0
2000178,2015,10,M,White,0,0,0
2000179,2007,10,F,Black,0,1,0
2000180,2008,6,F,White,1,0,0
2000181,2013,3,M,White,0,0,0
2000182,2011,11,M,Hispanic,1,0,0
2000183,2015,5,M,Asian,0,0,0
2000184,2007,12,M,Black,0,0,0
2000185,2015,6,F,White,1,0,1
2000186,2013,6,F,White,0,0,0
2000187,2008,10,F,Black,1,0,1
2000188,2014,4,M,White,0,0,0
2000189,2014,3,F,White,0,0,0
2000190,2011,10,M,Black,0,0,0
2000191,2008,12,F,White,0,0,0
2000192,2011,12,M,White,1,0,0
2000193,2014,4,M,White,0,0,0
2000194,2015,4,M,White,0,0,0
2000195,2012,6,M,Hispanic,0,1,0
2000196,2010,10,M,Multi,0,0,0
2000197,2010,12,X,Black,0,0,0
2000198,2007,11,M,Black,0,0,1
2000199,2014,6,M,White,1,0,0
2000200,2007,12,M,Black,1,0,0
2000201,2010,5,F,Asian,0,0,0
2000202,2015,4,M,White,0,0,1
2000203,2007,7,M,White,0,0,0
2000204,2013,3,F,Hispanic,1,0,1
2000205,2012,9,M,Black,1,0,0
2000206,2013,12,F,White,1,0,0
2000207,2007,4,F,White,0,0,0
2000208,2010,4,M,Black,0,0,0
2000209,2008,4,F,White,1,1,0
2000210,2008,4,M,Black,0,0,0
2000211,2012,8,M,White,0,0,0
2000212,2012,8,M,Black,0,0,0
2000213,2015,12,M,Black,0,0,0
2000214,2010,7,M,Black,0,0,0
2000215,2010,12,F,Hispanic,0,1,0
2000216,2009,10,M,White,1,1,0
2000217,2013,11,M,White,1,0,0
2000218,2011,4,F,White,1,0,1
2000219,2015,7,M,White,0,0,0
2000220,2007,12,F,Black,1,0,0
2000221,2013,10,F,Other,1,0,0
2000222,2009,5,M,White,1,0,0
2000223,2013,11,F,Hispanic,0,0,1
2000224,2014,10,M,Multi,1,0,0
2000225,2008,4,M,Other,1,0,1
2000226,2013,3,F,Black,1,0,0
2000227,2008,5,F,White,0,1,0
2000228,2013,7,M,Black,1,0,0
2000229,2012,4,M,White,0,0,0
2000230,2015,3,X,Hispanic,0,0,1
2000231,2011,4,F,Hispanic,1,0,1
2000232,2008,6,F,Asian,1,0,0
2000233,2011,6,F,White,1,0,0
2000234,2011,6,F,Black,0,0,0
2000235,2008,7,F,Black,0,0,0
2000236,2011,10,F,Black,1,0,0
2000237,2013,5,M,White,1,0,0
2000238,2013,7,F,White,0,1,0
2000239,2010,10,F,Hispanic,0,0,1
2000240,2012,3,F,Black,0,0,1
2000241,2010,12,M,White,0,0,0
2000242,2009,12,F,White,0,0,0
2000243,2013,5,M,White,1,0,0
2000244,2014,11,F,White,0,0,0
2000245,2010,5,M,White,1,0,0
2000246,2013,12,F,Asian,0,0,0
2000247,2011,9,M,Hispanic,1,1,0
2000248,2007,5,F,Asian,0,0,0
2000249,2013,3,F,Hispanic,0,0,0
2000250,2012,6,F,White,1,0,1
2000251,2012,10,M,Hispanic,0,1,1
2000252,2012,5,F,Black,0,0,0
2000253,2010,8,F,White,1,0,0
2000254,2014,4,F,White,0,1,1
2000255,2011,7,F,Multi,0,0,0
2000256,2014,3,F,Hispanic,1,0,0
2000257,2013,12,M,Black,0,0,0
2000258,2007,8,M,Asian,0,0,0
2000259,2007,11,F,White,0,0,0
2000260,2007,4,M,Black,0,0,0
2000261,2012,4,F,White,0,0,0
2000262,2010,4,M,White,0,0,0
2000263,2008,8,F,Black,0,0,0
2000264,2015,11,F,White,0,0,0
2000265,2010,9,M,White,0,0,0
2000266,2009,7,M,Black,1,0,0
2000267,2008,12,F,Multi,1,0,0
2000268,2008,4,M,White,0,0,0
2000269,2009,4,F,White,1,0,0
2000270,2012,9,M,White,0,0,0
2000271,2012,11,M,Hispanic,1,0,0
2000272,2008,5,F,White,0,0,0
2000273,2012,5,F,White,1,0,0
2000274,2011,8,M,Black,1,0,0
2000275,2011,10,M,Hispanic,1,0,0
2000276,2010,5,M,Black,1,1,0
2000277,2012,11,M,Hispanic,0,1,0
2000278,2011,8,F,Black,0,0,0
2000279,2013,10,M,White,0,0,0
2000280,2013,9,X,Hispanic,0,0,0
2000281,2015,7,M,White,0,0,0
2000282,2015,8,F,Black,0,0,0
2000283,2010,12,M,Multi,1,0,0
2000284,2012,6,F,Black,1,0,0
2000285,2010,12,M,Hispanic,0,0,1
2000286,2008,10,F,Other,0,0,0
2000287,2009,4,M,Black,1,0,1
2000288,2009,11,F,Multi,1,0,0
2000289,2010,6,F,White,0,0,0
2000290,2009,4,M,Hispanic,0,0,0
2000291,2007,5,F,Black,0,0,0
2000292,2014,4,M,White,0,0,0
2000293,2014,6,M,Hispanic,1,0,1
2000294,2013,4,M,Hispanic,1,0,0
2000295,2007,8,M,Black,0,0,0
2000296,2010,12,X,White,0,0,0
2000297,2007,12,F,White,0,0,0
2000298,2015,12,M,White,0,1,1
2000299,2010,5,M,Hispanic,0,0,1
2000300,2010,5,F,Asian,1,0,1
2000301,2009,9,F,Black,1,1,0
2000302,2015,12,F,White,0,0,0
2000303,2009,11,M,Hispanic,1,0,0
2000304,2015,5,F,White,0,0,0
2000305,2010,10,F,Black,0,0,0
2000306,2011,8,M,Black,1,0,1
2000307,2011,7,M,Black,0,0,0
2000308,2011,7,M,Black,0,0,0
2000309,2012,8,F,Hispanic,0,0,0
2000310,2010,12,F,Hispanic,1,0,1
2000311,2012,10,F,White,0,0,1
2000312,2011,3,F,White,1,0,0
2000313,2011,10,M,White,0,0,0
2000314,2014,6,M,White,0,0,0
2000315,2007,6,F,Black,1,0,0
2000316,2009,8,M,White,0,0,0
2000317,2013,12,M,White,1,0,0
2000318,2011,3,M,White,1,0,0
2000319,2009,8,M,Hispanic,0,0,1
2000320,2008,5,F,Hispanic,0,1,0
2000321,2009,12,F,White,1,0,0
2000322,2010,7,M,Black,0,0,1
2000323,2011,11,F,White,0,0,0
2000324,2010,11,F,Black,0,0,0
2000325,2007,4,F,Black,0,0,0
2000326,2010,10,F,White,0,0,0
2000327,2008,10,F,Hispanic,0,0,0
2000328,2015,11,M,Black,0,0,0
2000329,2013,12,F,Black,1,0,0
2000330,2007,10,F,White,0,0,0
2000331,2007,11,M,Black,0,0,0
2000332,2015,10,F,White,0,0,0
2000333,2012,5,F,White,0,0,0
2000334,2007,11,F,Asian,0,0,0
2000335,2010,10,F,White,1,0,0
2000336,2013,9,F,Black,0,0,0
2000337,2015,12,M,Black,1,0,1
2000338,2010,10,M,Black,0,0,1
2000339,2009,6,M,Black,0,0,0
2000340,2010,6,M,White,1,0,0
2000341,2013,6,F,Black,0,1,0
2000342,2014,4,M,Black,1,0,0
2000343,2007,3,M,White,0,0,0
2000344,2015,10,M,White,1,0,0
2000345,2011,10,X,Hispanic,1,1,0
2000346,2013,4,F,White,1,0,1
2000347,2010,6,M,Multi,0,0,1
2000348,2010,12,M,Other,1,0,0
2000349,2009,11,M,White,1,1,0
2000350,2014,8,F,White,1,0,0
2000351,2015,12,F,Hispanic,0,1,0
2000352,2009,6,M,Hispanic,0,0,0
2000353,2014,11,F,White,0,0,0
2000354,2008,12,M,White,0,0,0
2000355,2015,8,M,White,1,1,0
2000356,2008,4,M,Asian,0,0,0
2000357,2010,5,F,Black,0,0,0
2000358,2008,8,M,White,1,0,0
2000359,2010,5,F,White,0,0,0
2000360,2015,3,F,Asian,1,0,0
2000361,2015,4,M,Black,0,0,0
2000362,2009,12,F,White,1,0,0
2000363,2009,6,M,White,1,0,0
2000364,2011,8,M,Black,0,0,0
2000365,2010,7,M,White,0,0,0
2000366,2012,11,F,Hispanic,0,0,0
2000367,2014,4,X,White,1,0,1
2000368,2013,5,M,White,1,0,0
2000369,2009,8,F,White,0,0,0
2000370,2015,11,M,White,0,0,0
2000371,2008,7,M,White,1,0,0
2000372,2010,10,F,Asian,0,1,0
2000373,2014,11,F,White,0,0,0
2000374,2014,9,M,Black,1,0,1
2000375,2009,11,M,Multi,0,0,0
2000376,2009,12,F,Black,1,0,0
2000377,2008,5,M,Black,0,0,0
2000378,2014,7,F,White,1,0,0
2000379,2014,5,F,Black,0,0,0
2000380,2009,7,M,White,0,0,0
2000381,2007,3,F,White,1,0,0
2000382,2007,9,X,Asian,1,1,0
2000383,2008,5,M,Hispanic,1,0,0
2000384,2015,11,F,White,0,0,0
2000385,2009,10,M,White,1,0,0
2000386,2007,6,F,Black,1,0,0
2000387,2013,7,M,Asian,1,0,0
2000388,2013,9,M,Black,1,0,0
2000389,2014,7,M,Hispanic,0,0,0
2000390,2011,5,M,Hispanic,1,0,1
2000391,2010,3,M,Black,0,0,0
2000392,2010,8,F,Hispanic,0,0,0
2000393,2009,8,M,White,0,1,0
2000394,2012,10,F,White,1,0,1
2000395,2013,4,M,White,1,0,0
2000396,2008,3,F,White,1,0,0
2000397,2012,10,F,White,0,1,0
2000398,2007,10,M,White,1,0,0
2000399,2012,10,M,Black,0,1,0
2000400,2007,3,F,White,0,0,0
2000401,2010,9,F,Hispanic,0,0,0
2000402,2009,12,M,White,0,0,0
2000403,2008,10,F,Black,1,0,0
2000404,2009,7,M,White,1,0,1
2000405,2011,7,M,Hispanic,0,0,0
2000406,2015,7,M,White,0,0,0
2000407,2015,3,M,White,1,0,0
2000408,2007,10,M,White,0,0,0
2000409,2011,8,F,White,1,0,0
2000410,2012,8,F,Hispanic,1,0,0
2000411,2013,12,F,White,1,0,0
2000412,2011,10,F,White,0,0,0
2000413,2012,12,F,Black,0,0,0
2000414,2012,3,M,White,0,1,0
2000415,2010,12,M,Hispanic,1,0,0
2000416,2007,8,M,Asian,1,0,0
2000417,2013,7,M,Hispanic,0,0,0
2000418,2014,8,F,Hispanic,0,0,0
2000419,2012,3,M,Black,1,0,0
2000420,2008,12,F,Black,1,1,0
2000421,2012,9,X,White,1,1,0
2000422,2015,3,M,White,0,1,0
2000423,2015,12,M,White,0,0,1
2000424,2012,7,F,White,1,0,0
2000425,2013,4,F,White,1,1,1
2000426,2011,9,M,White,0,0,0
2000427,2015,3,F,Black,0,0,0
2000428,2014,8,F,White,1,0,0
2000429,2009,10,M,Hispanic,0,1,1
2000430,2009,3,M,White,1,0,0
2000431,2010,10,M,White,0,0,1
2000432,2008,8,F,Hispanic,0,0,0
2000433,2012,6,M,White,0,0,1
2000434,2011,5,M,Black,0,0,0
2000435,2015,3,F,White,1,0,0
2000436,2012,4,F,White,0,0,0
2000437,2014,5,F,White,0,0,0
2000438,2014,11,M,White,0,0,0
2000439,2013,8,M,White,0,0,1
2000440,2007,4,M,Hispanic,1,0,0
2000441,2014,10,M,White,0,1,0
2000442,2010,7,F,White,0,0,0
2000443,2010,11,F,White,0,0,0
2000444,2011,10,F,White,0,0,0
2000445,2014,12,F,White,0,0,0
2000446,2008,10,F,White,0,0,1
2000447,2014,4,F,Black,1,0,0
2000448,2011,8,F,White,0,0,0
2000449,2014,7,X,Multi,0,0,0
2000450,2010,11,X,Hispanic,1,1,0
2000451,2012,4,M,Asian,1,0,0
2000452,2013,7,M,White,0,0,0
2000453,2013,11,M,Hispanic,0,0,0
2000454,2013,9,F,Asian,1,0,0
2000455,2010,3,F,Black,1,0,0
2000456,2009,11,M,White,0,0,0
2000457,2007,6,F,White,0,0,0
2000458,2008,9,F,Black,1,0,0
2000459,2009,9,F,Black,1,0,0
2000460,2007,9,M,White,1,0,0
2000461,2014,7,M,White,0,0,0
2000462,2009,7,F,White,0,0,0
2000463,2008,4,M,White,1,0,0
2000464,2012,8,M,White,1,0,0
2000465,2011,5,F,Black,1,0,1
2000466,2013,6,M,White,0,0,0
2000467,2009,4,M,Black,0,0,0
2000468,2010,10,F,White,0,0,0
2000469,2013,12,M,Hispanic,0,0,0
2000470,2009,6,F,Asian,0,0,0
2000471,2009,7,F,White,0,0,0
2000472,2012,7,F,White,0,0,1
2000473,2012,3,M,White,1,1,0
2000474,2010,10,F,White,1,0,0
2000475,2014,11,F,Black,0,0,0
2000476,2013,8,M,White,0,0,0
2000477,2007,3,M,Black,1,1,0
2000478,2012,6,M,Hispanic,0,0,0
2000479,2010,4,F,White,0,0,0
2000480,2015,11,F,Black,0,0,0
2000481,2011,11,M,Hispanic,1,1,0
2000482,2009,6,M,White,0,0,0
2000483,2012,6,M,White,1,0,0
2000484,2007,11,F,Hispanic,0,0,0
2000485,2014,3,F,Multi,1,0,0
2000486,2012,10,F,White,0,0,1
2000487,2007,12,F,Hispanic,0,0,0
2000488,2015,7,M,White,0,0,0
2000489,2007,10,M,White,0,0,0
2000490,2007,10,X,White,0,0,0
2000491,2015,11,F,White,0,1,0
2000492,2013,3,F,Black,0,0,0
2000493,2009,10,F,White,1,0,0
2000494,2007,6,F,White,1,1,0
2000495,2015,11,F,White,0,0,0
2000496,2011,11,F,White,1,0,0
2000497,2010,5,F,Black,1,0,0
2000498,2010,8,F,White,0,1,0
2000499,2012,7,M,White,0,0,0
2000500,2015,8,M,White,0,0,1
2000501,2013,11,M,White,0,0,0
2000502,2013,9,M,White,0,0,0
2000503,2012,10,M,White,1,0,0
2000504,2008,9,M,Black,1,0,0
2000505,2015,5,M,Black,1,0,1
2000506,2012,8,F,White,0,0,1
2000507,2007,6,F,Hispanic,0,0,0
2000508,2010,7,M,Asian,0,0,0
2000509,2014,4,M,White,0,0,0
2000510,2011,4,F,White,0,0,0
2000511,2013,6,X,White,0,0,0
2000512,2010,5,F,White,1,0,0
2000513,2009,9,M,White,1,0,0
2000514,2012,5,M,White,1,0,0
2000515,2009,5,M,Hispanic,1,0,0
2000516,2007,7,M,White,1,0,0
2000517,2015,8,M,White,1,1,0
2000518,2009,12,F,White,1,1,0
2000519,2013,8,F,White,0,0,0
2000520,2009,6,M,White,0,0,0
2000521,2011,6,F,Black,1,0,0
2000522,2009,7,M,Black,0,0,0
2000523,2015,12,M,White,0,0,1
2000524,2009,6,M,White,0,0,0
2000525,2009,5,M,White,0,0,1
2000526,2015,8,F,Other,0,0,0
2000527,2015,10,M,White,0,0,1
2000528,2009,12,F,White,1,0,0
2000529,2012,5,F,Black,0,0,0
2000530,2012,11,F,Asian,0,0,0
2000531,2014,11,F,Hispanic,1,0,0
2000532,2007,6,F,Hispanic,0,1,0
2000533,2009,6,M,Black,0,0,0
2000534,2014,5,F,White,1,0,0
2000535,2008,6,M,Black,1,0,0
2000536,2009,11,F,Black,0,1,0
2000537,2015,6,F,White,0,0,0
2000538,2013,7,F,White,0,0,0
2000539,2013,12,X,Black,1,1,0
2000540,2015,9,M,White,0,0,0
2000541,2012,4,F,Hispanic,0,0,0
2000542,2009,3,M,Black,1,0,0
2000543,2011,5,M,White,0,1,0
2000544,2007,11,F,Black,1,0,0
2000545,2009,5,F,White,0,1,0
2000546,2015,6,M,Hispanic,1,0,0
2000547,2009,8,M,Black,0,0,0
2000548,2011,7,M,Black,0,0,0
2000549,2014,3,F,Other,0,0,0
2000550,2008,4,M,White,1,0,0
2000551,2007,12,F,White,0,0,0
2000552,2011,7,M,White,1,0,1
2000553,2010,5,F,White,0,0,0
2000554,2010,11,M,White,0,0,0
2000555,2015,7,F,White,0,0,0
2000556,2009,11,F,Hispanic,0,0,0
2000557,2009,4,F,Black,0,1,0
2000558,2009,7,F,Black,0,0,0
2000559,2010,11,M,Black,0,0,0
2000560,2012,10,M,Other,1,0,0
2000561,2011,9,F,Hispanic,0,0,0
2000562,2007,7,F,White,1,1,0
2000563,2009,11,F,Hispanic,0,0,0
2000564,2014,6,F,Hispanic,0,0,0
2000565,2014,9,M,Black,0,0,0
2000566,2014,8,M,White,0,0,0
2000567,2015,6,F,White,1,0,0
2000568,2013,5,X,Black,0,0,0
2000569,2012,8,F,Hispanic,1,0,0
2000570,2010,6,M,Black,1,0,0
2000571,2007,8,M,Multi,0,0,0
2000572,2013,10,F,Asian,0,0,0
2000573,2009,11,F,White,0,0,0
2000574,2011,10,F,Other,1,0,0
2000575,2011,8,F,Hispanic,0,1,1
2000576,2012,3,M,Asian,0,1,1
2000577,2011,4,M,White,1,0,0
2000578,2012,10,F,White,1,0,1
2000579,2012,8,F,White,0,0,0
2000580,2013,11,M,White,0,0,0
2000581,2013,7,M,White,1,0,0
2000582,2010,7,M,White,0,0,0
2000583,2012,5,M,Black,0,0,0
2000584,2015,3,M,Hispanic,0,1,0
2000585,2015,4,M,Black,1,1,0
2000586,2015,9,M,White,1,1,0
2000587,2011,8,M,Black,1,0,0
2000588,2008,5,F,Black,0,0,0
2000589,2011,6,M,Other,0,1,0
2000590,2013,9,M,White,0,0,0
2000591,2014,6,F,Hispanic,0,1,0
2000592,2008,6,F,White,1,0,1
2000593,2015,5,M,White,0,0,1
2000594,2008,9,F,Hispanic,0,0,0
2000595,2007,11,M,White,0,0,0
2000596,2010,5,F,Hispanic,0,0,0
2000597,2009,5,M,Black,1,0,0
2000598,2007,7,F,Hispanic,0,1,0
2000599,2014,4,M,White,0,0,0
2000600,2012,8,M,Other,1,1,0
2000601,2013,11,M,Hispanic,0,0,0
2000602,2011,9,M,White,0,1,0
2000603,2014,4,M,White,0,0,0
2000604,2014,5,F,Hispanic,0,1,0
2000605,2014,3,M,Black,1,0,0
2000606,2007,12,M,Asian,0,0,0
2000607,2007,6,M,Hispanic,1,0,0
2000608,2014,5,F,Black,0,0,0
2000609,2014,11,F,Black,1,1,1
2000610,2009,6,M,White,1,1,1
2000611,2013,5,F,White,1,0,0
2000612,2014,5,F,White,0,0,0
2000613,2013,6,F,Hispanic,1,0,0
2000614,2010,3,F,White,1,0,0
2000615,2012,9,M,White,0,0,0
2000616,2008,7,F,White,1,1,1
2000617,2012,12,F,Asian,1,0,0
2000618,2013,10,F,White,1,0,0
2000619,2012,6,M,Hispanic,0,0,0
2000620,2008,10,F,White,1,0,0
2000621,2014,11,F,Black,1,0,0
2000622,2007,4,F,Black,0,0,1
2000623,2008,4,M,White,1,0,0
2000624,2014,4,F,White,0,0,0
2000625,2012,3,F,White,0,0,0
2000626,2009,6,F,Black,1,1,0
2000627,2008,10,F,White,0,0,0
2000628,2012,10,M,Hispanic,0,0,0
2000629,2009,6,M,Hispanic,1,0,0
2000630,2012,7,M,Hispanic,0,0,0
2000631,2009,10,M,White,0,0,0
2000632,2015,12,F,White,1,0,1
2000633,2012,5,X,White,1,0,0
2000634,2009,9,F,Hispanic,1,0,0
2000635,2007,8,M,Black,1,0,0
2000636,2011,9,F,Hispanic,0,0,0
2000637,2007,11,M,Hispanic,0,0,1
2000638,2015,10,F,White,0,0,0
2000639,2015,6,F,Hispanic,1,0,0
2000640,2007,10,F,White,0,0,0
2000641,2013,3,F,Black,0,0,0
2000642,2015,6,M,Asian,0,0,0
2000643,2009,5,M,White,0,0,0
2000644,2008,5,F,White,0,1,0
2000645,2014,12,M,Multi,1,0,0
2000646,2015,7,F,White,0,1,1
2000647,2010,3,M,White,1,1,0
2000648,2008,7,M,White,1,0,0
2000649,2011,3,M,White,0,0,0
2000650,2014,4,F,Black,0,0,0
2000651,2007,6,M,Black,1,0,0
2000652,2011,7,F,Hispanic,0,0,0
2000653,2009,5,M,White,0,0,0
2000654,2011,9,M,White,1,0,1
2000655,2012,7,M,Black,1,0,0
2000656,2007,4,M,White,1,0,0
2000657,2013,11,F,Hispanic,1,0,0
2000658,2012,4,M,Hispanic,0,0,0
2000659,2009,6,X,White,0,0,1
2000660,2015,4,F,White,0,0,0
2000661,2012,12,F,Hispanic,0,0,1
2000662,2010,5,M,White,0,0,0
2000663,2008,11,X,Black,0,0,0
2000664,2011,12,F,Hispanic,1,0,0
2000665,2007,5,M,Multi,1,0,0
2000666,2012,3,M,Asian,0,0,1
2000667,2014,3,F,Hispanic,0,0,0
2000668,2010,4,M,White,1,1,0
2000669,2012,7,F,Hispanic,1,0,0
2000670,2011,4,F,Black,1,0,0
2000671,2013,12,F,White,1,0,0
2000672,2013,7,F,Hispanic,0,0,0
2000673,2010,11,M,Black,0,0,0
2000674,2014,3,F,Black,0,0,0
2000675,2008,4,M,Multi,1,0,0
2000676,2011,7,F,Multi,1,0,0
2000677,2009,4,M,White,0,0,0
2000678,2011,4,F,Black,1,0,0
2000679,2007,3,F,White,1,0,0
2000680,2009,5,M,White,1,0,1
2000681,2013,10,M,White,0,1,0
2000682,2015,10,F,Asian,0,0,0
2000683,2008,8,M,White,1,0,0
2000684,2009,4,F,Hispanic,0,0,0
2000685,2012,7,M,Multi,0,0,0
2000686,2014,9,M,Other,1,0,0
2000687,2012,4,M,White,1,1,0
2000688,2011,7,M,Hispanic,0,0,0
2000689,2007,11,M,Black,1,0,0
2000690,2009,7,F,Black,0,0,0
2000691,2015,7,F,Hispanic,0,0,0
2000692,2012,11,F,White,0,0,0
